CUPS;Fecha;Hora;Consumo_kWh;Metodo_obtencion
ES0021000004676798CK;01/05/2021;1;0,192;R
ES0021000004676798CK;01/05/2021;2;0,124;R
ES0021000004676798CK;01/05/2021;3;0,089;R
ES0021000004676798CK;01/05/2021;4;0,088;R
ES0021000004676798CK;01/05/2021;5;0,064;R
ES0021000004676798CK;01/05/2021;6;0,082;R
ES0021000004676798CK;01/05/2021;7;0,071;R
ES0021000004676798CK;01/05/2021;8;0,052;R
ES0021000004676798CK;01/05/2021;9;0,085;R
ES0021000004676798CK;01/05/2021;10;0,613;R
ES0021000004676798CK;01/05/2021;11;1,057;R
ES0021000004676798CK;01/05/2021;12;0,206;R
ES0021000004676798CK;01/05/2021;13;0,073;R
ES0021000004676798CK;01/05/2021;14;0,057;R
ES0021000004676798CK;01/05/2021;15;0,083;R
ES0021000004676798CK;01/05/2021;16;0,087;R
ES0021000004676798CK;01/05/2021;17;0,069;R
ES0021000004676798CK;01/05/2021;18;0,058;R
ES0021000004676798CK;01/05/2021;19;0,077;R
ES0021000004676798CK;01/05/2021;20;0,077;R
ES0021000004676798CK;01/05/2021;21;0,29;R
ES0021000004676798CK;01/05/2021;22;0,484;R
ES0021000004676798CK;01/05/2021;23;0,671;R
ES0021000004676798CK;01/05/2021;24;0,203;R
ES0021000004676798CK;02/05/2021;1;0,169;R
ES0021000004676798CK;02/05/2021;2;0,227;R
ES0021000004676798CK;02/05/2021;3;0,085;R
ES0021000004676798CK;02/05/2021;4;0,056;R
ES0021000004676798CK;02/05/2021;5;0,083;R
ES0021000004676798CK;02/05/2021;6;0,086;R
ES0021000004676798CK;02/05/2021;7;0,072;R
ES0021000004676798CK;02/05/2021;8;0,055;R
ES0021000004676798CK;02/05/2021;9;0,073;R
ES0021000004676798CK;02/05/2021;10;0,076;R
ES0021000004676798CK;02/05/2021;11;0,067;R
ES0021000004676798CK;02/05/2021;12;0,072;R
ES0021000004676798CK;02/05/2021;13;0,053;R
ES0021000004676798CK;02/05/2021;14;0,067;R
ES0021000004676798CK;02/05/2021;15;0,083;R
ES0021000004676798CK;02/05/2021;16;0,068;R
ES0021000004676798CK;02/05/2021;17;0,106;R
ES0021000004676798CK;02/05/2021;18;0,109;R
ES0021000004676798CK;02/05/2021;19;0,105;R
ES0021000004676798CK;02/05/2021;20;0,072;R
ES0021000004676798CK;02/05/2021;21;0,07;R
ES0021000004676798CK;02/05/2021;22;0,063;R
ES0021000004676798CK;02/05/2021;23;0,12;R
ES0021000004676798CK;02/05/2021;24;0,774;R
ES0021000004676798CK;03/05/2021;1;0,254;R
ES0021000004676798CK;03/05/2021;2;0,174;R
ES0021000004676798CK;03/05/2021;3;0,163;R
ES0021000004676798CK;03/05/2021;4;0,084;R
ES0021000004676798CK;03/05/2021;5;0,059;R
ES0021000004676798CK;03/05/2021;6;0,071;R
ES0021000004676798CK;03/05/2021;7;0,066;R
ES0021000004676798CK;03/05/2021;8;0,058;R
ES0021000004676798CK;03/05/2021;9;0,081;R
ES0021000004676798CK;03/05/2021;10;0,079;R
ES0021000004676798CK;03/05/2021;11;0,093;R
ES0021000004676798CK;03/05/2021;12;0,86;R
ES0021000004676798CK;03/05/2021;13;0,832;R
ES0021000004676798CK;03/05/2021;14;0,228;R
ES0021000004676798CK;03/05/2021;15;0,356;R
