CUPS;Fecha;Hora;Consumo;GGG
AAA;01/09/2021;1;0.24;
AAA;01/09/2021;2;0.317;
AAA;01/09/2021;3;0.218;
AAA;01/09/2021;4;0.248;
AAA;01/09/2021;5;0.245;
AAA;01/09/2021;6;0.246;
AAA;01/09/2021;7;0.334;
AAA;01/09/2021;8;0.19;
AAA;01/09/2021;9;0.184;
AAA;01/09/2021;10;0.181;
AAA;01/09/2021;11;0.195;
AAA;01/09/2021;12;0.199;
AAA;01/09/2021;13;0.204;
AAA;01/09/2021;14;0.214;
AAA;01/09/2021;15;0.543;
AAA;01/09/2021;16;0.935;
AAA;01/09/2021;17;0.903;
AAA;01/09/2021;18;1.029;
AAA;01/09/2021;19;0.442;
AAA;01/09/2021;20;0.276;
AAA;01/09/2021;21;0.319;
AAA;01/09/2021;22;0.307;
AAA;01/09/2021;23;0.336;
AAA;01/09/2021;24;0.328;
AAA;02/09/2021;1;0.207;
AAA;02/09/2021;2;0.187;
AAA;02/09/2021;3;0.173;
AAA;02/09/2021;4;0.21;
AAA;02/09/2021;5;0.174;
AAA;02/09/2021;6;0.174;
AAA;02/09/2021;7;0.155;
AAA;02/09/2021;8;0.278;
AAA;02/09/2021;9;0.474;
AAA;02/09/2021;10;0.442;
AAA;02/09/2021;11;0.366;
AAA;02/09/2021;12;0.318;
AAA;02/09/2021;13;0.294;
AAA;02/09/2021;14;0.988;
AAA;02/09/2021;15;1.412;
AAA;02/09/2021;16;1.085;
AAA;02/09/2021;17;0.914;
AAA;02/09/2021;18;1.245;
AAA;02/09/2021;19;1.067;
AAA;02/09/2021;20;0.813;
AAA;02/09/2021;21;1.382;
AAA;02/09/2021;22;0.305;
AAA;02/09/2021;23;0.413;
AAA;02/09/2021;24;0.363;
AAA;03/09/2021;1;0.157;
AAA;03/09/2021;2;0.131;
AAA;03/09/2021;3;0.199;
AAA;03/09/2021;4;0.18;
AAA;03/09/2021;5;0.197;
AAA;03/09/2021;6;0.182;
AAA;03/09/2021;7;0.182;
AAA;03/09/2021;8;2.146;
AAA;03/09/2021;9;0.17;
AAA;03/09/2021;10;3.661;
AAA;03/09/2021;11;3.703;
AAA;03/09/2021;12;3.665;
AAA;03/09/2021;13;3.702;
AAA;03/09/2021;14;3.688;
AAA;03/09/2021;15;4.239;
AAA;03/09/2021;16;4.415;
AAA;03/09/2021;17;1.139;
AAA;03/09/2021;18;0.916;
AAA;03/09/2021;19;0.33;
AAA;03/09/2021;20;0.235;
AAA;03/09/2021;21;0.247;
AAA;03/09/2021;22;0.18;
AAA;03/09/2021;23;0.178;
AAA;03/09/2021;24;0.174;
AAA;04/09/2021;1;0.188;
AAA;04/09/2021;2;0.183;
AAA;04/09/2021;3;0.21;
AAA;04/09/2021;4;0.171;
AAA;04/09/2021;5;0.174;
AAA;04/09/2021;6;0.191;
AAA;04/09/2021;7;0.171;
AAA;04/09/2021;8;0.237;
AAA;04/09/2021;9;0.293;
AAA;04/09/2021;10;0.291;
AAA;04/09/2021;11;0.27;
AAA;04/09/2021;12;0.234;
AAA;04/09/2021;13;0.194;
AAA;04/09/2021;14;0.194;
AAA;04/09/2021;15;0.613;
AAA;04/09/2021;16;1.237;
AAA;04/09/2021;17;1.062;
AAA;04/09/2021;18;1.556;
AAA;04/09/2021;19;0.38;
AAA;04/09/2021;20;0.291;
AAA;04/09/2021;21;0.35;
AAA;04/09/2021;22;0.336;
AAA;04/09/2021;23;0.319;
AAA;04/09/2021;24;0.359;
AAA;05/09/2021;1;0.236;
AAA;05/09/2021;2;0.191;
AAA;05/09/2021;3;0.182;
AAA;05/09/2021;4;0.171;
AAA;05/09/2021;5;0.201;
AAA;05/09/2021;6;0.187;
AAA;05/09/2021;7;0.198;
AAA;05/09/2021;8;0.174;
AAA;05/09/2021;9;0.243;
AAA;05/09/2021;10;0.205;
AAA;05/09/2021;11;0.235;
AAA;05/09/2021;12;0.268;
AAA;05/09/2021;13;0.355;
AAA;05/09/2021;14;1.791;
AAA;05/09/2021;15;3.854;
AAA;05/09/2021;16;4.494;
AAA;05/09/2021;17;4.411;
AAA;05/09/2021;18;3.602;
AAA;05/09/2021;19;0.299;
AAA;05/09/2021;20;0.206;
AAA;05/09/2021;21;0.167;
AAA;05/09/2021;22;1.135;
AAA;05/09/2021;23;3.768;
AAA;05/09/2021;24;3.769;
AAA;06/09/2021;1;0.184;
AAA;06/09/2021;2;0.189;
AAA;06/09/2021;3;0.11;
AAA;06/09/2021;4;0.2;
AAA;06/09/2021;5;0.205;
AAA;06/09/2021;6;0.219;
AAA;06/09/2021;7;0.215;
AAA;06/09/2021;8;0.304;
AAA;06/09/2021;9;0.27;
AAA;06/09/2021;10;3.703;
AAA;06/09/2021;11;3.877;
AAA;06/09/2021;12;3.93;
AAA;06/09/2021;13;0.363;
AAA;06/09/2021;14;0.369;
AAA;06/09/2021;15;1.042;
AAA;06/09/2021;16;1.157;
AAA;06/09/2021;17;1.254;
AAA;06/09/2021;18;1.125;
AAA;06/09/2021;19;0.478;
AAA;06/09/2021;20;0.377;
AAA;06/09/2021;21;0.837;
AAA;06/09/2021;22;0.624;
