CUPS;Fecha;Hora;2.0TD;3.0TD;P3.0TDVE
REE;01/01/2022;1;0.000135829;8.76E-05;5.12E-05
REE;01/01/2022;2;0.00011538;8.22E-05;4.75E-05
REE;01/01/2022;3;9.95E-05;8.00E-05;4.02E-05
REE;01/01/2022;4;8.93E-05;7.87E-05;3.89E-05
REE;01/01/2022;5;8.43E-05;7.82E-05;2.56E-05
REE;01/01/2022;6;8.35E-05;7.91E-05;3.02E-05
REE;01/01/2022;7;8.55E-05;8.16E-05;2.20E-05
REE;01/01/2022;8;9.07E-05;8.44E-05;1.59E-05
REE;01/01/2022;9;0.000100241;8.02E-05;2.59E-05
REE;01/01/2022;10;0.000123882;8.08E-05;3.51E-05
REE;01/01/2022;11;0.000148582;8.62E-05;4.93E-05
REE;01/01/2022;12;0.000159552;9.03E-05;9.48E-05
REE;01/01/2022;13;0.000159318;9.36E-05;0.000130456
REE;01/01/2022;14;0.000164673;9.36E-05;0.000182469
REE;01/01/2022;15;0.000162813;9.01E-05;0.000149372
REE;01/01/2022;16;0.000146859;8.63E-05;0.000133737
REE;01/01/2022;17;0.000138558;8.38E-05;0.000145912
REE;01/01/2022;18;0.000139952;8.40E-05;0.00013437
REE;01/01/2022;19;0.00015989;9.66E-05;0.000134127
REE;01/01/2022;20;0.000177358;0.000103007;0.000150282
REE;01/01/2022;21;0.000190339;0.000102173;0.000156687
REE;01/01/2022;22;0.00019376;9.84E-05;0.000149205
REE;01/01/2022;23;0.000181187;9.21E-05;0.000113955
REE;01/01/2022;24;0.000153774;8.59E-05;7.96E-05
REE;02/01/2022;1;0.000135829;8.76E-05;5.12E-05
REE;02/01/2022;2;0.00011538;8.22E-05;4.75E-05
REE;02/01/2022;3;9.95E-05;8.00E-05;4.02E-05
REE;02/01/2022;4;8.93E-05;7.87E-05;3.89E-05
REE;02/01/2022;5;8.43E-05;7.82E-05;2.56E-05
REE;02/01/2022;6;8.35E-05;7.91E-05;3.02E-05
REE;02/01/2022;7;8.55E-05;8.16E-05;2.20E-05
REE;02/01/2022;8;9.07E-05;8.44E-05;1.59E-05
REE;02/01/2022;9;0.000100241;8.02E-05;2.59E-05
REE;02/01/2022;10;0.000123882;8.08E-05;3.51E-05
REE;02/01/2022;11;0.000148582;8.62E-05;4.93E-05
REE;02/01/2022;12;0.000159552;9.03E-05;9.48E-05
REE;02/01/2022;13;0.000159318;9.36E-05;0.000130456
REE;02/01/2022;14;0.000164673;9.36E-05;0.000182469
REE;02/01/2022;15;0.000162813;9.01E-05;0.000149372
REE;02/01/2022;16;0.000146859;8.63E-05;0.000133737
REE;02/01/2022;17;0.000138558;8.38E-05;0.000145912
REE;02/01/2022;18;0.000139952;8.40E-05;0.00013437
REE;02/01/2022;19;0.00015989;9.66E-05;0.000134127
REE;02/01/2022;20;0.000177358;0.000103007;0.000150282
REE;02/01/2022;21;0.000190339;0.000102173;0.000156687
REE;02/01/2022;22;0.00019376;9.84E-05;0.000149205
REE;02/01/2022;23;0.000181187;9.21E-05;0.000113955
REE;02/01/2022;24;0.000153774;8.59E-05;7.96E-05
REE;03/01/2022;1;0.000122753;8.21E-05;3.49E-05
REE;03/01/2022;2;9.99E-05;7.91E-05;2.70E-05
REE;03/01/2022;3;8.78E-05;7.79E-05;1.64E-05
REE;03/01/2022;4;8.18E-05;7.76E-05;1.37E-05
REE;03/01/2022;5;7.99E-05;7.81E-05;2.63E-05
REE;03/01/2022;6;8.31E-05;8.16E-05;2.00E-05
REE;03/01/2022;7;9.61E-05;9.43E-05;2.02E-05
REE;03/01/2022;8;0.000125293;0.000122453;5.79E-05
REE;03/01/2022;9;0.000140179;0.000164832;0.000166972
REE;03/01/2022;10;0.000144573;0.000190513;0.00024256
REE;03/01/2022;11;0.000152748;0.000198525;0.000256533
REE;03/01/2022;12;0.00015219;0.00019636;0.000242324
REE;03/01/2022;13;0.000149988;0.000193171;0.000287513
REE;03/01/2022;14;0.000156911;0.000180451;0.000245815
REE;03/01/2022;15;0.000157995;0.000157408;0.000197478
REE;03/01/2022;16;0.00015105;0.00014985;0.000232624
REE;03/01/2022;17;0.000145688;0.00015078;0.000188513
REE;03/01/2022;18;0.000149185;0.000151667;0.000194238
REE;03/01/2022;19;0.000169888;0.000158383;0.000207785
REE;03/01/2022;20;0.000193214;0.000152853;0.000205022
REE;03/01/2022;21;0.000209881;0.000135698;0.000225498
REE;03/01/2022;22;0.000212166;0.000116526;0.000179201
REE;03/01/2022;23;0.000194616;0.000100267;0.000140272
REE;03/01/2022;24;0.000159563;9.04E-05;6.72E-05
REE;04/01/2022;1;0.000123206;8.45E-05;5.67E-05
REE;04/01/2022;2;9.97E-05;8.13E-05;3.61E-05
REE;04/01/2022;3;8.74E-05;7.98E-05;2.92E-05
REE;04/01/2022;4;8.16E-05;7.94E-05;1.67E-05
REE;04/01/2022;5;7.98E-05;7.97E-05;1.41E-05
REE;04/01/2022;6;8.30E-05;8.32E-05;2.36E-05
REE;04/01/2022;7;9.58E-05;9.54E-05;2.82E-05
REE;04/01/2022;8;0.000124383;0.000123086;8.08E-05
REE;04/01/2022;9;0.000139348;0.000163167;0.000150062
